runtime,engine,profile,scenario,status,request_ttfa_ms,request_total_ms,request_rtf,generate_ttfa_ms,generate_total_ms,generation_rtf,request_prompt_prep_ms,cached_prompt_build_ms,model_load_ms,warmup_ms,audio_duration_s,peak_vram_mb,sample_rate,backend,mode,streaming_support,true_streaming,scenario_word_count,scenario_description,sample_folder,sample_file,optimizations_applied,optimization_notes,streaming_error
windows_native,chatterbox_turbo,optimized,long_reply,measured,18653.6,18653.6,0.488,18653.6,18653.6,0.488,0.0,112.8,27035.0,3892.0,38.2,5838.5,24000,turbo_native,non_streaming_clone,none,False,162,Long-form assistant narration from the Phase 0 fixture.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/windows_native,chatterbox_turbo__optimized__long_reply.wav,conditioning_cache,Prepared speaker conditionals cached once per session and reused across replies.,
windows_native,tada_1b,baseline,short_reply,failed,,,,,,,,,,,,,,unknown,unknown,unknown,False,18,One concise assistant reply.,,,,Engine run failed before producing measurements.,
windows_native,tada_1b,baseline,medium_reply,failed,,,,,,,,,,,,,,unknown,unknown,unknown,False,41,A practical multi-sentence assistant answer.,,,,Engine run failed before producing measurements.,
windows_native,tada_1b,baseline,long_reply,failed,,,,,,,,,,,,,,unknown,unknown,unknown,False,162,Long-form assistant narration from the Phase 0 fixture.,,,,Engine run failed before producing measurements.,
windows_native,tada_1b,optimized,short_reply,failed,,,,,,,,,,,,,,unknown,unknown,unknown,False,18,One concise assistant reply.,,,,Engine run failed before producing measurements.,
windows_native,tada_1b,optimized,medium_reply,failed,,,,,,,,,,,,,,unknown,unknown,unknown,False,41,A practical multi-sentence assistant answer.,,,,Engine run failed before producing measurements.,
windows_native,tada_1b,optimized,long_reply,failed,,,,,,,,,,,,,,unknown,unknown,unknown,False,162,Long-form assistant narration from the Phase 0 fixture.,,,,Engine run failed before producing measurements.,
windows_native,qwen3,baseline,short_reply,measured,16980.1,16980.1,2.793,16908.7,16908.7,2.781,71.4,,6203.8,7771.9,6.08,2627.1,24000,eager,simulated_streaming_text,simulated,False,18,One concise assistant reply.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/windows_native,qwen3__baseline__short_reply.wav,,Each request rebuilds the Qwen voice clone prompt.,
windows_native,qwen3,baseline,medium_reply,measured,46935.8,46935.8,2.742,46871.4,46871.4,2.738,64.4,,6203.8,7771.9,17.12,2820.0,24000,eager,simulated_streaming_text,simulated,False,41,A practical multi-sentence assistant answer.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/windows_native,qwen3__baseline__medium_reply.wav,,Each request rebuilds the Qwen voice clone prompt.,
windows_native,qwen3,baseline,long_reply,measured,157911.2,157911.2,2.734,157821.1,157821.1,2.732,90.0,,6203.8,7771.9,57.76,2880.5,24000,eager,simulated_streaming_text,simulated,False,162,Long-form assistant narration from the Phase 0 fixture.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/windows_native,qwen3__baseline__long_reply.wav,,Each request rebuilds the Qwen voice clone prompt.,
windows_native,qwen3,optimized,short_reply,measured,16317.4,16317.4,2.756,16317.4,16317.4,2.756,0.0,78.5,3524.6,5096.8,5.92,2621.9,24000,eager,simulated_streaming_text,simulated,False,18,One concise assistant reply.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/windows_native,qwen3__optimized__short_reply.wav,prompt_cache,"Voice clone prompt cached once per session. Requested flash_attention_2 but fell back to eager (Traceback (most recent call last):
  File ""C:\Users\rayme-ssh.OMEN-PC\phase0-probes\tts_scenario_matrix.py"", line 1008, in load_model
    model = Qwen3TTSModel.from_pretrained(
            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\rayme-ssh.OMEN-PC\.venv-phase0\Lib\site-packages\qwen_tts\inference\qwen3_tts_model.py"", line 112, in from_pretrained
    model = AutoModel.from_pretrained(pretrai).",
windows_native,qwen3,optimized,medium_reply,measured,47060.4,47060.4,2.723,47060.4,47060.4,2.723,0.0,78.5,3524.6,5096.8,17.28,2820.7,24000,eager,simulated_streaming_text,simulated,False,41,A practical multi-sentence assistant answer.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/windows_native,qwen3__optimized__medium_reply.wav,prompt_cache,"Voice clone prompt cached once per session. Requested flash_attention_2 but fell back to eager (Traceback (most recent call last):
  File ""C:\Users\rayme-ssh.OMEN-PC\phase0-probes\tts_scenario_matrix.py"", line 1008, in load_model
    model = Qwen3TTSModel.from_pretrained(
            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\rayme-ssh.OMEN-PC\.venv-phase0\Lib\site-packages\qwen_tts\inference\qwen3_tts_model.py"", line 112, in from_pretrained
    model = AutoModel.from_pretrained(pretrai).",
windows_native,qwen3,optimized,long_reply,measured,145258.5,145258.5,2.747,145258.5,145258.5,2.747,0.0,78.5,3524.6,5096.8,52.88,2881.4,24000,eager,simulated_streaming_text,simulated,False,162,Long-form assistant narration from the Phase 0 fixture.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/windows_native,qwen3__optimized__long_reply.wav,prompt_cache,"Voice clone prompt cached once per session. Requested flash_attention_2 but fell back to eager (Traceback (most recent call last):
  File ""C:\Users\rayme-ssh.OMEN-PC\phase0-probes\tts_scenario_matrix.py"", line 1008, in load_model
    model = Qwen3TTSModel.from_pretrained(
            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\rayme-ssh.OMEN-PC\.venv-phase0\Lib\site-packages\qwen_tts\inference\qwen3_tts_model.py"", line 112, in from_pretrained
    model = AutoModel.from_pretrained(pretrai).",
wsl_python,xtts,baseline,short_reply,measured,568.9,4412.4,0.546,451.5,4295.0,0.532,117.4,,15087.4,2914.0,8.075,2047.5,24000,native_stream,streaming,native,True,18,One concise assistant reply.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/wsl_python,xtts__baseline__short_reply.wav,,Warm model only. Each request recomputes XTTS conditioning latents from the reference clip.,
wsl_python,xtts,baseline,medium_reply,measured,596.2,11046.2,0.61,410.2,10860.1,0.6,186.1,,15087.4,2914.0,18.112,2342.0,24000,native_stream,streaming,native,True,41,A practical multi-sentence assistant answer.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/wsl_python,xtts__baseline__medium_reply.wav,,Warm model only. Each request recomputes XTTS conditioning latents from the reference clip.,
wsl_python,xtts,baseline,long_reply,measured,28832.9,28832.9,0.445,28699.3,28699.3,0.443,133.6,,15087.4,2914.0,64.794,2071.7,24000,native_stream,non_streaming_fallback,native_fallback,False,162,Long-form assistant narration from the Phase 0 fixture.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/wsl_python,xtts__baseline__long_reply.wav,,Warm model only. Each request recomputes XTTS conditioning latents from the reference clip.,"Traceback (most recent call last):
  File ""/mnt/c/Users/rayme-ssh.OMEN-PC/phase0-probes/tts_scenario_matrix.py"", line 516, in synthesize
    for chunk in xtts_model.inference_stream(
  File ""/home/pmpg/rayme/.venv-cu121/lib/python3.10/site-packages/torch/utils/_contextlib.py"", line 36, in generator_context
    response = gen.send(None)
  File ""/home/pmpg/rayme/.venv-cu121/lib/python3.10/site-packages/TTS/tts/models/xtts.py"", line 625, in inference_stream
    assert text_tokens.shape[-1] < self.args.gpt_max_text_tokens, (
AssertionError:  ❗ XTTS can only generate text with a maximum of 400 tokens.
"
wsl_python,xtts,optimized,short_reply,measured,379.6,4314.4,0.499,379.6,4314.4,0.499,0.0,66.7,15087.4,2914.0,8.64,2071.7,24000,native_stream,streaming,native,True,18,One concise assistant reply.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/wsl_python,xtts__optimized__short_reply.wav,conditioning_cache,Conditioning latents cached once per session and reused across replies.,
wsl_python,xtts,optimized,medium_reply,measured,439.6,9861.1,0.552,439.6,9861.1,0.552,0.0,66.7,15087.4,2914.0,17.877,2342.1,24000,native_stream,streaming,native,True,41,A practical multi-sentence assistant answer.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/wsl_python,xtts__optimized__medium_reply.wav,conditioning_cache,Conditioning latents cached once per session and reused across replies.,
wsl_python,xtts,optimized,long_reply,measured,27184.6,27184.6,0.441,27184.6,27184.6,0.441,0.0,66.7,15087.4,2914.0,61.583,2044.9,24000,native_stream,non_streaming_fallback,native_fallback,False,162,Long-form assistant narration from the Phase 0 fixture.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/wsl_python,xtts__optimized__long_reply.wav,conditioning_cache,Conditioning latents cached once per session and reused across replies.,"Traceback (most recent call last):
  File ""/mnt/c/Users/rayme-ssh.OMEN-PC/phase0-probes/tts_scenario_matrix.py"", line 516, in synthesize
    for chunk in xtts_model.inference_stream(
  File ""/home/pmpg/rayme/.venv-cu121/lib/python3.10/site-packages/torch/utils/_contextlib.py"", line 36, in generator_context
    response = gen.send(None)
  File ""/home/pmpg/rayme/.venv-cu121/lib/python3.10/site-packages/TTS/tts/models/xtts.py"", line 625, in inference_stream
    assert text_tokens.shape[-1] < self.args.gpt_max_text_tokens, (
AssertionError:  ❗ XTTS can only generate text with a maximum of 400 tokens.
"
wsl_python,luxtts,baseline,short_reply,measured,827.9,827.9,0.195,774.2,774.2,0.182,53.8,,35195.0,2557.3,4.245,892.1,48000,zipvoice_pytorch,non_streaming_clone,none,False,18,One concise assistant reply.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/wsl_python,luxtts__baseline__short_reply.wav,,Warm model only. Each request re-encodes the reference prompt before generation.,
wsl_python,luxtts,baseline,medium_reply,measured,601.3,601.3,0.051,555.6,555.6,0.047,45.7,,35195.0,2557.3,11.765,982.1,48000,zipvoice_pytorch,non_streaming_clone,none,False,41,A practical multi-sentence assistant answer.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/wsl_python,luxtts__baseline__medium_reply.wav,,Warm model only. Each request re-encodes the reference prompt before generation.,
wsl_python,luxtts,baseline,long_reply,measured,1767.7,1767.7,0.041,1729.3,1729.3,0.04,38.4,,35195.0,2557.3,43.296,2112.4,48000,zipvoice_pytorch,non_streaming_clone,none,False,162,Long-form assistant narration from the Phase 0 fixture.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/wsl_python,luxtts__baseline__long_reply.wav,,Warm model only. Each request re-encodes the reference prompt before generation.,
wsl_python,luxtts,optimized,short_reply,measured,289.8,289.8,0.068,289.8,289.8,0.068,0.0,44.4,35195.0,2557.3,4.245,875.5,48000,zipvoice_pytorch,non_streaming_clone,none,False,18,One concise assistant reply.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/wsl_python,luxtts__optimized__short_reply.wav,prompt_cache,Prompt cache reused across replies. Generation settings stay on the official 4-step efficient path.,
wsl_python,luxtts,optimized,medium_reply,measured,519.4,519.4,0.044,519.4,519.4,0.044,0.0,44.4,35195.0,2557.3,11.765,985.4,48000,zipvoice_pytorch,non_streaming_clone,none,False,41,A practical multi-sentence assistant answer.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/wsl_python,luxtts__optimized__medium_reply.wav,prompt_cache,Prompt cache reused across replies. Generation settings stay on the official 4-step efficient path.,
wsl_python,luxtts,optimized,long_reply,measured,1726.7,1726.7,0.04,1726.7,1726.7,0.04,0.0,44.4,35195.0,2557.3,43.296,2112.6,48000,zipvoice_pytorch,non_streaming_clone,none,False,162,Long-form assistant narration from the Phase 0 fixture.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/wsl_python,luxtts__optimized__long_reply.wav,prompt_cache,Prompt cache reused across replies. Generation settings stay on the official 4-step efficient path.,
wsl_python,chatterbox_turbo,baseline,short_reply,measured,2552.9,2552.9,0.469,2358.6,2358.6,0.434,194.3,,79850.3,2142.8,5.44,4804.0,24000,turbo_native,non_streaming_clone,none,False,18,One concise assistant reply.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/wsl_python,chatterbox_turbo__baseline__short_reply.wav,,Warm model only. Each request recomputes Chatterbox Turbo conditionals from the reference clip.,
wsl_python,chatterbox_turbo,baseline,medium_reply,measured,6697.9,6697.9,0.43,6551.9,6551.9,0.421,146.1,,79850.3,2142.8,15.56,4885.2,24000,turbo_native,non_streaming_clone,none,False,41,A practical multi-sentence assistant answer.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/wsl_python,chatterbox_turbo__baseline__medium_reply.wav,,Warm model only. Each request recomputes Chatterbox Turbo conditionals from the reference clip.,
wsl_python,chatterbox_turbo,baseline,long_reply,measured,19279.2,19279.2,0.494,19147.8,19147.8,0.49,131.4,,79850.3,2142.8,39.04,5849.7,24000,turbo_native,non_streaming_clone,none,False,162,Long-form assistant narration from the Phase 0 fixture.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/wsl_python,chatterbox_turbo__baseline__long_reply.wav,,Warm model only. Each request recomputes Chatterbox Turbo conditionals from the reference clip.,
wsl_python,chatterbox_turbo,optimized,short_reply,measured,2368.2,2368.2,0.429,2368.2,2368.2,0.429,0.0,156.6,79850.3,2142.8,5.52,4652.5,24000,turbo_native,non_streaming_clone,none,False,18,One concise assistant reply.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/wsl_python,chatterbox_turbo__optimized__short_reply.wav,conditioning_cache,Prepared speaker conditionals cached once per session and reused across replies.,
wsl_python,chatterbox_turbo,optimized,medium_reply,measured,6483.6,6483.6,0.433,6483.6,6483.6,0.433,0.0,156.6,79850.3,2142.8,14.96,4868.3,24000,turbo_native,non_streaming_clone,none,False,41,A practical multi-sentence assistant answer.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/wsl_python,chatterbox_turbo__optimized__medium_reply.wav,conditioning_cache,Prepared speaker conditionals cached once per session and reused across replies.,
wsl_python,chatterbox_turbo,optimized,long_reply,measured,15353.8,15353.8,0.426,15353.8,15353.8,0.426,0.0,156.6,79850.3,2142.8,36.08,5695.7,24000,turbo_native,non_streaming_clone,none,False,162,Long-form assistant narration from the Phase 0 fixture.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/wsl_python,chatterbox_turbo__optimized__long_reply.wav,conditioning_cache,Prepared speaker conditionals cached once per session and reused across replies.,
wsl_python,tada_1b,baseline,short_reply,measured,2200.0,2200.0,0.431,1869.5,1869.5,0.367,330.5,,208964.4,2277.3,5.1,10412.4,24000,native_bf16,non_streaming_clone,none,False,18,One concise assistant reply.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/wsl_python,tada_1b__baseline__short_reply.wav,,Warm model only. Each request rebuilds the TADA voice prompt from the encoder.,
wsl_python,tada_1b,baseline,medium_reply,measured,4006.7,4006.7,0.357,3688.9,3688.9,0.329,317.8,,208964.4,2277.3,11.22,10412.4,24000,native_bf16,non_streaming_clone,none,False,41,A practical multi-sentence assistant answer.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/wsl_python,tada_1b__baseline__medium_reply.wav,,Warm model only. Each request rebuilds the TADA voice prompt from the encoder.,
wsl_python,tada_1b,baseline,long_reply,measured,13317.1,13317.1,0.258,12944.1,12944.1,0.251,373.0,,208964.4,2277.3,51.66,10412.4,24000,native_bf16,non_streaming_clone,none,False,162,Long-form assistant narration from the Phase 0 fixture.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/wsl_python,tada_1b__baseline__long_reply.wav,,Warm model only. Each request rebuilds the TADA voice prompt from the encoder.,
wsl_python,tada_1b,optimized,short_reply,measured,148588.3,148588.3,24.28,148588.3,148588.3,24.28,0.0,440.8,208964.4,3207.1,6.12,6736.5,24000,native_bf16_compiled,non_streaming_clone,none,False,18,One concise assistant reply.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/wsl_python,tada_1b__optimized__short_reply.wav,prompt_cache; model.compile,Prompt cache reused across replies. Upstream model.compile() applied before the optimized run.,
wsl_python,tada_1b,optimized,medium_reply,measured,3233.4,3233.4,0.194,3233.4,3233.4,0.194,0.0,440.8,208964.4,3207.1,16.66,7104.7,24000,native_bf16_compiled,non_streaming_clone,none,False,41,A practical multi-sentence assistant answer.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/wsl_python,tada_1b__optimized__medium_reply.wav,prompt_cache; model.compile,Prompt cache reused across replies. Upstream model.compile() applied before the optimized run.,
wsl_python,tada_1b,optimized,long_reply,measured,11306.2,11306.2,0.218,11306.2,11306.2,0.218,0.0,440.8,208964.4,3207.1,51.98,8470.9,24000,native_bf16_compiled,non_streaming_clone,none,False,162,Long-form assistant narration from the Phase 0 fixture.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/wsl_python,tada_1b__optimized__long_reply.wav,prompt_cache; model.compile,Prompt cache reused across replies. Upstream model.compile() applied before the optimized run.,
wsl_python,qwen3,baseline,short_reply,measured,14564.1,14564.1,2.801,14384.9,14384.9,2.766,179.2,,5422.2,4708.6,5.2,2597.3,24000,eager,simulated_streaming_text,simulated,False,18,One concise assistant reply.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/wsl_python,qwen3__baseline__short_reply.wav,,Each request rebuilds the Qwen voice clone prompt.,
wsl_python,qwen3,baseline,medium_reply,measured,45673.9,45673.9,2.719,45558.4,45558.4,2.712,115.4,,5422.2,4708.6,16.8,2816.3,24000,eager,simulated_streaming_text,simulated,False,41,A practical multi-sentence assistant answer.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/wsl_python,qwen3__baseline__medium_reply.wav,,Each request rebuilds the Qwen voice clone prompt.,
wsl_python,qwen3,baseline,long_reply,measured,151910.1,151910.1,2.752,151786.3,151786.3,2.75,123.8,,5422.2,4708.6,55.2,2877.4,24000,eager,simulated_streaming_text,simulated,False,162,Long-form assistant narration from the Phase 0 fixture.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/wsl_python,qwen3__baseline__long_reply.wav,,Each request rebuilds the Qwen voice clone prompt.,
wsl_python,qwen3,optimized,short_reply,measured,17987.0,17987.0,2.958,17987.0,17987.0,2.958,0.0,132.2,2795.8,3163.4,6.08,2623.2,24000,flash_attention_2,simulated_streaming_text,simulated,False,18,One concise assistant reply.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/wsl_python,qwen3__optimized__short_reply.wav,prompt_cache; flash_attention_2,Voice clone prompt cached once per session.,
wsl_python,qwen3,optimized,medium_reply,measured,47050.1,47050.1,2.97,47050.1,47050.1,2.97,0.0,132.2,2795.8,3163.4,15.84,2816.3,24000,flash_attention_2,simulated_streaming_text,simulated,False,41,A practical multi-sentence assistant answer.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/wsl_python,qwen3__optimized__medium_reply.wav,prompt_cache; flash_attention_2,Voice clone prompt cached once per session.,
wsl_python,qwen3,optimized,long_reply,measured,170069.4,170069.4,2.961,170069.4,170069.4,2.961,0.0,132.2,2795.8,3163.4,57.44,2877.4,24000,flash_attention_2,simulated_streaming_text,simulated,False,162,Long-form assistant narration from the Phase 0 fixture.,.planning/phases/00-measurement-gate/results/tts_scenario_audio/wsl_python,qwen3__optimized__long_reply.wav,prompt_cache; flash_attention_2,Voice clone prompt cached once per session.,
